,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used,University_Tag,pc1,pc2,pc3,followers,tweets,following
218,3.3,0.9462563159999999,6371,78549.0,0.55,1037,0.77,36733,0,0,Monmouth,-1.554603532339314,-2.2467506735568863,1.0190784009778189,149,"207
            ",124
219,3.6,0.951122853,2290,78396.0,0.64,1210,0.7,45380,0,0,WC,-0.0019974745334535053,-1.7172890008352797,0.07741470978288648,"2,715","221
            ",122
220,3.4,0.90513834,3637,77149.5,0.57,1097,0.71,40345,0,1,MMC,-0.9119662304228465,-1.9538009145651323,0.940354997867532,"6,588","7,930
            ",687
221,3.6,0.87145452,19198,68700.0,0.46,1081,0.74,99694,1,0,TU,-0.8255866324608168,-1.1334344751326888,0.012387976287460635,223,"470
            ",43
222,3.3,0.929824561,3290,65859.0,0.76,1160,0.79,32154,0,0,Endicott,-0.7596431529848794,-2.093642379376889,0.6876180505161568,389,"626
            ",6
223,3.6,0.9555226090000001,2473,64835.5,0.58,1104,0.63,42330,0,1,AU,-0.4151014285397238,-1.7792852748588028,0.30168669429836525,453,"442
            ",243
224,3.5,0.9691252140000001,2159,62356.0,0.58,1150,0.72,32424,0,0,Nazareth,-0.7793288134442059,-1.8450596902754175,0.3641897543511387,117,"65
            ",61
225,3.2,0.9650655020000001,2110,61331.0,0.63,1042,0.66,36535,0,1,Springfield,-1.2164092618392677,-2.5277809176107677,1.1927213390070273,22,"14
            ",3
226,3.7,0.965811966,1712,61011.0,0.72,1160,0.76,42180,0,1,Lebanon,-0.010663139646117207,-1.7467767726167611,-0.2464050333337127,"5,368","18.4K
            ","2,781"
227,3.4,0.94109589,1660,59120.5,0.53,1066,0.66,33301,0,0,Bona,-1.1330496736328235,-2.0259350647074066,0.9335886041298185,473,"999
            ",61
228,3.6,0.925233645,3098,57358.5,0.47,1035,0.78,30932,0,0,Gannon,-1.371936511505224,-1.7230763923817316,0.5999569942934146,22,"14
            ",1
229,3.3,0.9518384259999999,4060,57288.5,0.58,1014,0.69,41310,0,1,Rider,-1.2664535990939583,-2.3957266693467525,1.0823876779370218,"5,810","5,419
            ","2,345"
230,3.3,0.957435897,5616,56500.0,0.75,1255,0.41,36780,0,1,Marist,0.1815363062501713,-1.6098131010009866,0.4627561407516614,23.3K,"7,937
            ",280
231,3.3,0.976766699,2124,55478.5,0.64,1180,0.68,38986,0,1,Salve,-0.6209358891540011,-2.21995794858472,0.6901041100640917,"1,438","2,813
            ",189
